City,Longitude,Latitude,Temp. (max),Humidity,Cloudiness,Wind Speed,Dates
Dunedin,170.5036,-45.8742,56.8,41.0,5.0,7.0,1627355325.0
,,,,,,,
Topaowan,112.6895,30.67,87.46,71.0,0.0,15.32,1627355326.0
Novosergiyevka,53.6528,52.0934,64.83,41.0,4.0,3.33,1627355326.0
Bubaque,-15.8333,11.2833,79.59,84.0,91.0,10.96,1627355326.0
Margate,1.3862,51.3813,64.18,94.0,100.0,1.99,1627355169.0
,,,,,,,
Acapulco de Juárez,-99.8901,16.8634,81.36,82.0,21.0,3.58,1627355327.0
Sergeevka,67.4158,53.88,62.2,49.0,94.0,9.53,1627355327.0
,,,,,,,
Vardø,31.1107,70.3705,44.8,86.0,43.0,2.37,1627355129.0
Rome,-75.4557,43.2128,73.26,82.0,1.0,0.0,1627355180.0
Honningsvåg,25.9704,70.9821,40.53,74.0,25.0,4.25,1627355328.0
Macusani,-70.4333,-14.0833,34.12,77.0,0.0,3.33,1627355328.0
Krasnyy Yar,48.3456,46.5331,71.53,26.0,92.0,9.33,1627355328.0
Saint Paul Harbor,-152.4072,57.79,62.11,55.0,75.0,5.75,1627355149.0
Jalu,21.5482,29.0331,78.48,44.0,0.0,6.11,1627355329.0
Xining,101.7667,36.6167,64.29,64.0,93.0,7.56,1627355329.0
Mwense,28.698,-10.3845,52.54,64.0,100.0,6.51,1627355329.0
Caucayá,-74.7819,-0.1934,71.74,96.0,77.0,2.48,1627355329.0
Blackfoot,-112.345,43.1905,86.54,13.0,81.0,2.73,1627355330.0
Tukan,57.4552,53.8409,55.96,56.0,19.0,3.22,1627355330.0
Balclutha,169.75,-46.2339,55.6,47.0,7.0,6.04,1627355330.0
San Luis,-66.3356,-33.295,40.42,41.0,5.0,7.85,1627355155.0
,,,,,,,
Sinnamary,-52.95,5.3833,77.41,86.0,70.0,5.93,1627355331.0
Tālcher,85.2167,20.95,86.22,65.0,100.0,13.42,1627355331.0
Manaquiri,-60.35,-3.3167,79.25,73.0,100.0,2.06,1627355331.0
Flin Flon,-101.865,54.7682,62.87,51.0,26.0,2.53,1627355332.0
,,,,,,,
Norman Wells,-126.8329,65.282,63.59,55.0,99.0,3.58,1627355332.0
Igrim,64.4162,63.1906,53.4,76.0,83.0,7.27,1627355332.0
Katsuura,140.3,35.1333,80.71,89.0,99.0,17.87,1627355099.0
La Ronge,-105.2842,55.1001,62.55,57.0,44.0,3.62,1627355195.0
Pringsewu,104.9744,-5.3582,85.53,51.0,18.0,3.36,1627355126.0
Garbolovo,30.4955,60.3413,66.09,65.0,11.0,2.75,1627355333.0
Maykor,55.88,59.0059,55.72,95.0,100.0,10.6,1627355333.0
Mount Vernon,-73.8371,40.9126,80.94,68.0,1.0,1.01,1627355333.0
Port Hardy,-127.4199,50.6996,58.44,82.0,83.0,10.18,1627355334.0
Eyl,49.8164,7.9803,78.55,57.0,48.0,18.95,1627355334.0
Guilin,110.2864,25.2819,92.08,56.0,40.0,1.07,1627355334.0
Portland,-122.6762,45.5234,85.44,49.0,20.0,1.01,1627355269.0
Acajutla,-89.8275,13.5928,80.8,83.0,2.0,4.03,1627355335.0
Goderich,-81.7165,43.7501,67.91,69.0,30.0,4.16,1627355335.0
Port-Gentil,8.7815,-0.7193,74.23,81.0,90.0,10.18,1627355335.0
Paita,-81.1144,-5.0892,68.07,83.0,73.0,15.41,1627355336.0
Iisalmi,27.1907,63.5592,60.82,84.0,40.0,2.15,1627355336.0
Bushehr,50.8385,28.9684,96.78,42.0,22.0,7.09,1627355336.0
Poya,165.15,-21.35,76.59,45.0,4.0,9.93,1627355336.0
Ajuchitlán,-100.0167,20.7167,67.39,71.0,25.0,7.45,1627355337.0
Ocós,-92.1933,14.5094,82.31,73.0,100.0,1.79,1627355337.0
Evensk,159.2333,61.95,60.53,70.0,94.0,4.25,1627355337.0
Bitung,125.1824,1.4451,94.05,64.0,100.0,16.53,1627355338.0
Jiaojiang,121.4428,28.6803,81.16,89.0,100.0,7.9,1627355338.0
Khojaly District,46.7903,39.913,76.5,52.0,0.0,3.47,1627355338.0
Catalão,-47.9464,-18.1658,60.31,49.0,0.0,6.11,1627355338.0
Mwinilunga,24.4293,-11.7358,50.54,55.0,100.0,8.63,1627355339.0
Suamico,-88.0393,44.6319,77.77,80.0,1.0,4.61,1627355339.0
Kandrian,149.55,-6.2167,81.63,82.0,96.0,8.88,1627355339.0
Borba,-59.5939,-4.3878,74.75,70.0,99.0,1.97,1627355340.0
Yerbogachën,108.0108,61.2767,85.05,38.0,4.0,8.16,1627355662.0
Makakilo City,-158.0858,21.3469,84.52,59.0,75.0,12.66,1627355115.0
Udala,-2.5125,43.0778,55.62,97.0,61.0,2.37,1627355340.0
Caborca,-111.101,30.5838,88.07,38.0,19.0,2.59,1627355340.0
Khovd,91.6419,48.0056,71.6,45.0,14.0,3.76,1627355113.0
Andenes,16.1194,69.3143,57.47,100.0,90.0,4.61,1627355334.0
Torbat-e Jām,60.6225,35.244,82.35,28.0,0.0,25.48,1627355341.0
Scarborough,-0.4044,54.2797,60.53,89.0,37.0,4.38,1627355341.0
Prado,-39.2208,-17.3411,69.31,87.0,14.0,5.55,1627355341.0
Clevelândia,-52.4708,-26.3958,62.4,70.0,95.0,3.38,1627355342.0
Dassel,9.6884,51.8032,63.61,83.0,71.0,3.65,1627355342.0
Jacareacanga,-57.7528,-6.2222,73.65,53.0,47.0,1.5,1627355663.0
Ismailia,32.2723,30.6043,74.62,84.0,0.0,4.47,1627355342.0
Yorosso,-4.7761,12.3536,72.88,89.0,72.0,5.26,1627355343.0
Haines Junction,-137.5108,60.7522,52.43,87.0,100.0,4.54,1627355183.0
,,,,,,,
Kaeo,173.7833,-35.1,60.33,69.0,3.0,11.95,1627355343.0
Shahrud,54.9763,36.4182,78.96,39.0,5.0,6.49,1627355343.0
Hamilton,-84.5333,39.1834,77.22,75.0,1.0,0.0,1627355344.0
Lagoa,-27.9833,39.05,70.9,86.0,100.0,13.0,1627355344.0
General Roca,-67.5833,-39.0333,43.84,43.0,2.0,13.11,1627355344.0
Oskemen,82.6119,49.9565,67.96,77.0,75.0,11.18,1627355345.0
Baghdad,44.4009,33.3406,87.71,30.0,0.0,9.22,1627355265.0
Surakarta,110.8317,-7.5561,83.86,56.0,77.0,7.78,1627355345.0
,,,,,,,
Shemonaīkha,81.9056,50.6328,66.06,68.0,4.0,15.73,1627355345.0
São Filipe,-24.4956,14.8961,74.77,86.0,25.0,8.84,1627355171.0
Ketchikan,-131.6461,55.3422,57.67,94.0,90.0,9.22,1627355346.0
Mahibadhoo,72.9667,3.7833,82.47,73.0,86.0,10.87,1627355346.0
,,,,,,,
Mozarlândia,-50.5706,-14.7447,71.92,44.0,0.0,2.62,1627355347.0
Yangi Marg`ilon,71.7189,40.4272,88.52,27.0,1.0,9.22,1627355347.0
Muroto-misakicho,134.15,33.2833,81.12,69.0,17.0,2.62,1627355347.0
Te Anau,167.7167,-45.4167,48.63,70.0,33.0,5.68,1627355665.0
Havelock,-76.9013,34.8791,82.94,89.0,30.0,3.0,1627355056.0
Adwa,38.8955,14.1646,61.57,91.0,96.0,3.96,1627355348.0
Aykhal,111.5,66.0,84.09,34.0,35.0,5.48,1627355113.0
Allen,-85.0144,41.0706,73.87,86.0,1.0,3.44,1627355348.0
Morgan City,-91.2068,29.6994,81.0,94.0,1.0,4.61,1627355348.0
Ibrā’,58.5334,22.6906,86.56,49.0,31.0,5.14,1627355349.0
Vostok,135.8833,46.4856,87.4,51.0,99.0,4.54,1627355349.0
Inhambane,35.3833,-23.865,63.21,67.0,2.0,6.62,1627355205.0
,,,,,,,
Arys,68.795,42.4252,88.02,24.0,0.0,25.39,1627355349.0
Dehlorān,47.2679,32.6941,103.41,10.0,3.0,8.61,1627355236.0
Tromsø,18.957,69.6496,50.65,100.0,90.0,2.3,1627355350.0
Jacksonville Beach,-81.3931,30.2947,81.25,93.0,40.0,9.22,1627355350.0
Morant Bay,-76.4093,17.8815,83.82,85.0,100.0,8.23,1627355350.0
Baiyin,104.2081,36.5583,80.19,28.0,83.0,5.91,1627355351.0
Menongue,17.691,-14.6585,43.86,58.0,4.0,4.97,1627355351.0
,,,,,,,
Suileng,127.0833,47.25,75.45,89.0,100.0,8.25,1627355351.0
Houndé,-3.5167,11.5,72.79,85.0,78.0,6.4,1627355352.0
Gordeyevka,31.9703,52.9569,62.78,72.0,22.0,6.24,1627355352.0
Khem Karan,74.5667,31.1428,84.42,75.0,100.0,9.04,1627355352.0
Philadelphia,-75.1638,39.9523,79.11,67.0,20.0,0.0,1627355155.0
Kungurtug,97.5228,50.5994,61.48,85.0,99.0,3.22,1627355352.0
Kutum,24.6667,14.2,68.94,75.0,100.0,2.93,1627355353.0
Maiduguri,13.1603,11.8464,73.02,91.0,90.0,7.45,1627355353.0
Noumea,166.4572,-22.2763,77.0,99.0,28.0,18.25,1627355353.0
Micheweni,39.8333,-4.9667,75.29,72.0,13.0,16.49,1627355354.0
Sur,59.5289,22.5667,92.01,51.0,53.0,14.45,1627355354.0
Punta Alta,-62.0736,-38.8759,42.03,54.0,53.0,22.24,1627355354.0
Ouésso,16.0517,1.6136,73.54,76.0,97.0,2.37,1627355354.0
Severnyy,36.5532,50.677,62.64,67.0,0.0,2.24,1627355355.0
Moindou,165.677,-21.6924,75.15,53.0,7.0,13.6,1627355355.0
Sechura,-80.8222,-5.5569,68.74,79.0,74.0,16.46,1627355246.0
Nanortalik,-45.2371,60.1432,45.3,88.0,67.0,11.16,1627355120.0
Moba,105.0179,33.2288,65.61,70.0,100.0,2.53,1627355355.0
Hokitika,170.9667,-42.7167,52.48,75.0,61.0,14.14,1627355356.0
Abū Zabad,29.25,12.35,71.8,87.0,100.0,9.51,1627355356.0
Alfredo Chaves,-40.7497,-20.635,67.62,76.0,0.0,4.97,1627355356.0
Dossor,52.9811,47.5272,74.37,24.0,3.0,9.64,1627355357.0
Port Hedland,118.5667,-20.3167,80.65,47.0,89.0,13.8,1627355088.0
Brookhaven,-90.4407,31.5791,76.15,87.0,36.0,2.42,1627355357.0
North Bend,-124.2243,43.4065,66.24,90.0,90.0,13.8,1627355216.0
Shīeli,66.75,44.1667,84.45,21.0,0.0,17.56,1627355357.0
Yeppoon,150.7333,-23.1333,74.98,67.0,10.0,8.86,1627355358.0
Hässleholm,13.7664,56.1591,66.34,99.0,100.0,3.76,1627355358.0
Hope,-93.5916,33.6671,85.95,64.0,25.0,1.9,1627355221.0
Cockburn Town,-71.1419,21.4612,82.45,84.0,15.0,15.48,1627355358.0
Hobyo,48.5268,5.3505,76.82,72.0,95.0,22.32,1627355359.0
Rawson,-65.1023,-43.3002,42.24,73.0,86.0,32.93,1627355359.0
